"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,4.36835876752577,0.237130551769925,18.4217458902729,8.79213669941645e-76,1.33156910312662e-71
"ENSG00000179094",743.252688449073,2.86388859808248,0.175565883862452,16.3123297936757,8.06567901346295e-60,6.10773543294482e-56
"ENSG00000116584",2277.91345410747,-1.03470049033619,0.065082555628233,-15.8982768938369,6.51316890091137e-57,3.28806476681009e-53
"ENSG00000189221",2383.75370672631,3.3415440681344,0.212409078963028,15.7316442613831,9.17959789231983e-56,3.4756252519796e-52
"ENSG00000120129",3440.70375496308,2.96521081657061,0.203697777240284,14.5569129754068,5.27883126347293e-48,1.59895798970595e-44
"ENSG00000148175",13493.9203682606,1.42716829196438,0.100381138942911,14.2174945113547,7.13624856542736e-46,1.80130807538996e-42
"ENSG00000178695",2685.40973562001,-2.48906892129326,0.178065428682575,-13.978395130985,2.11196891608752e-44,4.56939560487792e-41
"ENSG00000109906",439.541520915421,5.92759817865289,0.428158161851793,13.8444124316489,1.37500468985759e-43,2.60305575348665e-40
"ENSG00000134686",2933.64246142684,1.43948992679627,0.105843081357769,13.6002269428507,3.99192841695149e-42,6.71752843052559e-39
"ENSG00000101347",14134.9917673153,3.85041430891126,0.2848850356132,13.5156776508933,1.26386524958401e-41,1.91412392049498e-38
"ENSG00000096060",2630.23049426017,3.94505208402203,0.292896027327968,13.4691211759065,2.37678065283932e-41,3.27239481702286e-38
"ENSG00000166741",7542.25286980186,2.21959060429975,0.166736622596485,13.3119561241883,1.97248910848629e-40,2.48944562900208e-37
"ENSG00000125148",3695.87946177106,2.19856357569088,0.16700757703706,13.1644540606862,1.40549887405627e-39,1.63740618827555e-36
"ENSG00000162614",5646.18313812309,1.97114016269575,0.15021115760209,13.1224617009964,2.44850121094309e-39,2.6487536314095e-36
"ENSG00000106976",989.046833637733,-1.85017137464956,0.147797282184123,-12.5183044458467,5.92881525871496e-36,5.9861271395492e-33
"ENSG00000187193",199.07693798836,3.25514246765372,0.260916033909487,12.4758238076812,1.01154576837031e-35,9.57491291373017e-33
"ENSG00000256235",1123.47954131474,1.28011886137867,0.105494291310672,12.1344846766052,6.93451769379968e-34,6.17783943956448e-31
"ENSG00000177666",2639.57019969705,1.13999465313704,0.0960869978155415,11.8641926488899,1.81646227614331e-32,1.5283511762328e-29
"ENSG00000164125",7257.00808055341,1.02485242974147,0.0865945306101244,11.8350711357935,2.57125417214087e-32,2.04956023353018e-29
